dataset	model	population_id	population_name	population	median_f1	mean_f1	median_precision	median_recall	median_support	n_runs
dataset_name-FR-FCM-Z238_seed-42	dgcytof	14	CD8+ T Cell (Effector Memory)	CD8+ T Cell (Effector Memory)	0.6170142336974512	0.5939616992162232	0.6838532828612452	0.626596745999731	7420	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	15	CD8+ T Cell (Naive)	CD8+ T Cell (Naive)	0.9183912221437214	0.8371531777963591	0.9532107170846394	0.9002156779979531	172943	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	16	Dendritic Cell (Type 1, CD141+)	Dendritic Cell (Type 1, CD141+)	0.385602548840477	0.38409709823185983	0.5970200554771246	0.2070855614973262	7463	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	17	Dendritic Cell (Type 2, CD1c+)	Dendritic Cell (Type 2, CD1c+)	0.27955859169732	0.27955859169732	0.17768871075484302	0	461	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	18	Monocyte (CD14+ CD16+)	Monocyte (CD14+ CD16+)	0.7914751471005325	0.7772071931668854	0.7209382432543262	0.867289218799619	100186	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	19	Monocyte (CD14+ CD16-)	Monocyte (CD14+ CD16-)	0.9662267875963009	0.9645802631886383	0.9746382453702594	0.9579592749792489	678706	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	2	B Cell (Memory)	B Cell (Memory)	0.9664291924579229	0.957835855947727	0.9633193330787833	0.9759394638963704	38985	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	20	Monocyte (CD14- CD16+)	Monocyte (CD14- CD16+)	0.733376658371507	0.7303049587964996	0.8347292910672064	0.7176725778217521	27095	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	21	NK Cell (CD56+ CD16+)	NK Cell (CD56+ CD16+)	0.9385894978232439	0.9327843436253197	0.8921533149700497	0.9872868365587277	211586	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	22	NK Cell (CD56+ CD16-)	NK Cell (CD56+ CD16-)	0.7599728859515336	0.7443578182061724	0.9491819586428768	0.633659728992695	70398	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	23	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	0.9894141647792073	0.9876599196439383	0.9849516416390939	0.9960106810796898	30997	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	3	B Cell (Plasmablast)	B Cell (Plasmablast)	0.807541241162608	0.6891659737696364	0.8475889781859931	0.7642381537268085	15469	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	4	Basophil	Basophil	0.9213466508384112	0.9213466508384112	0.9537419446637414	0	2334	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	5	CD4+ CD8+ T Cell	CD4+ CD8+ T Cell	0.7214697106517255	0.7165758154614481	0.6113604814217162	0.791513567365478	186698	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	6	CD4+ T Cell (Central Memory)	CD4+ T Cell (Central Memory)	0.6667713648698051	0.6535281918593415	0.6834629959992822	0.6508755880815473	198103	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	7	CD4+ T Cell (EMRA)	CD4+ T Cell (EMRA)	0.4220288966389454	0.38803796108886884	0.3703269069572506	0.4514756713639989	7522	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	8	CD4+ T Cell (Effector Memory)	CD4+ T Cell (Effector Memory)	0.7063056294070049	0.6813534096417176	0.6913611676849966	0.7219104442344045	33856	5
dataset_name-FR-FCM-Z238_seed-42	dgcytof	9	CD4+ T Cell (Naive)	CD4+ T Cell (Naive)	0.7140192443302018	0.7028999668581456	0.6731503324040318	0.7968279481394696	207118	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	1	B Cell (CD27-)	B Cell (CD27-)	NA	NA	NA	0	110209	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	10	CD4+ T Cell (Treg)	CD4+ T Cell (Treg)	NA	NA	NA	0	53998	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	11	CD4- CD8- T Cell	CD4- CD8- T Cell	NA	NA	NA	0	165094	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	12	CD8+ T Cell (Central Memory)	CD8+ T Cell (Central Memory)	NA	NA	NA	0	28946	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	13	CD8+ T Cell (EMRA)	CD8+ T Cell (EMRA)	NA	NA	NA	0	40513	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	14	CD8+ T Cell (Effector Memory)	CD8+ T Cell (Effector Memory)	NA	NA	NA	0	7420	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	15	CD8+ T Cell (Naive)	CD8+ T Cell (Naive)	NA	NA	NA	0	172943	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	16	Dendritic Cell (Type 1, CD141+)	Dendritic Cell (Type 1, CD141+)	NA	NA	NA	0	7463	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	17	Dendritic Cell (Type 2, CD1c+)	Dendritic Cell (Type 2, CD1c+)	NA	NA	NA	0	461	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	18	Monocyte (CD14+ CD16+)	Monocyte (CD14+ CD16+)	NA	NA	NA	0	100186	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	19	Monocyte (CD14+ CD16-)	Monocyte (CD14+ CD16-)	NA	NA	NA	0	678706	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	2	B Cell (Memory)	B Cell (Memory)	NA	NA	NA	0	38985	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	20	Monocyte (CD14- CD16+)	Monocyte (CD14- CD16+)	NA	NA	NA	0	27095	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	21	NK Cell (CD56+ CD16+)	NK Cell (CD56+ CD16+)	NA	NA	NA	0	211586	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	22	NK Cell (CD56+ CD16-)	NK Cell (CD56+ CD16-)	NA	NA	NA	0	70398	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	23	Plasmacytoid Dendritic Cell	Plasmacytoid Dendritic Cell	NA	NA	NA	0	30997	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	3	B Cell (Plasmablast)	B Cell (Plasmablast)	NA	NA	NA	0	15469	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	4	Basophil	Basophil	NA	NA	NA	0	2334	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	5	CD4+ CD8+ T Cell	CD4+ CD8+ T Cell	NA	NA	NA	0	186698	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	6	CD4+ T Cell (Central Memory)	CD4+ T Cell (Central Memory)	NA	NA	NA	0	198103	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	7	CD4+ T Cell (EMRA)	CD4+ T Cell (EMRA)	NA	NA	NA	0	7522	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	8	CD4+ T Cell (Effector Memory)	CD4+ T Cell (Effector Memory)	NA	NA	NA	0	33856	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[E]	9	CD4+ T Cell (Naive)	CD4+ T Cell (Naive)	NA	NA	NA	0	207118	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	1	B Cell (CD27-)	B Cell (CD27-)	NA	NA	NA	0	110209	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	10	CD4+ T Cell (Treg)	CD4+ T Cell (Treg)	NA	NA	NA	0	53998	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	11	CD4- CD8- T Cell	CD4- CD8- T Cell	NA	NA	NA	0	165094	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	12	CD8+ T Cell (Central Memory)	CD8+ T Cell (Central Memory)	NA	NA	NA	0	28946	5
dataset_name-FR-FCM-Z238_seed-42	gatemeclass[V]	13	CD8+ T Cell (EMRA)	CD8+ T Cell (EMRA)	NA	NA	NA	0	40513	5
