dataset	model	crossvalidation	n_cells	f1_macro_median	f1_weighted_median	runtime_seconds
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cygate	num-2	1174493	0.8126577065835203	0.9077968199551403	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cygate	num-3	1231233	0.7859492908895558	0.8842928452844598	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cygate	num-4	1266374	0.9083407134140691	0.9612461403605457	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	cygate	num-5	1212710	0.9367115334675825	0.9696478123557241	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	dgcytof	num-1	1346699	0.9645264610584448	0.9816808690451543	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	dgcytof	num-2	1174493	0.9820581558046761	0.990931770479087	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	dgcytof	num-3	1231233	0.9777430771430486	0.9894817658646862	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	dgcytof	num-4	1266374	0.989240253335962	0.9952188285024867	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	dgcytof	num-5	1212710	0.9787949486335323	0.9906733024459441	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[E]	num-1	1346699	0.45817044346718233	0.36223603902249424	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[E]	num-2	1174493	0.5546169543705626	0.13070035235712116	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[E]	num-3	1231233	0.557012778402322	0.6610302732855188	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[E]	num-4	1266374	0.3073497129947483	0.1249622673374748	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[E]	num-5	1212710	0.5759669481755598	0.647737532995931	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[V]	num-1	1346699	0.3106879036754792	0.2654365500426793	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[V]	num-2	1174493	0.26913951002150255	0.08959761382032103	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[V]	num-3	1231233	0.49934005224899447	0.6221177783791231	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[V]	num-4	1266374	0.21397077002698614	0.08763698980144337	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	gatemeclass[V]	num-5	1212710	0.30910587100517073	0.4725338093502723	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	knn	num-1	1346699	0.7025658228341641	0.772499044515787	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	knn	num-2	1174493	0.7186348065321567	0.7885628428519922	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	knn	num-3	1231233	0.6981745023259391	0.7883064983138084	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	knn	num-4	1266374	0.7085207010360056	0.8153309749766018	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	knn	num-5	1212710	0.7234152773405212	0.8099686556087403	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	lda	num-1	1346699	0.7535333772526045	0.8066931319598928	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	lda	num-2	1174493	0.7919893213342701	0.8782853088781276	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	lda	num-3	1231233	0.7647843450591034	0.8924254928432402	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	lda	num-4	1266374	0.7705695824713564	0.9053959172247651	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	lda	num-5	1212710	0.7982048694169853	0.8763294612983183	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	random	num-1	1346699	0.16039133392770968	0.19953299413415002	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	random	num-2	1174493	0.1597000324944399	0.2010922407825866	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	random	num-3	1231233	0.15722081019639395	0.20195919475065316	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	random	num-4	1266374	0.15806433532034378	0.20185324651113198	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-42	random	num-5	1212710	0.16150250745756078	0.1990436788349901	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cyanno	num-1	1346699	0.8308181110212682	0.9283924937916959	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cyanno	num-2	1274361	0.8079152953080285	0.9154800127640264	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cyanno	num-3	1174493	0.8989657658481967	0.9529183722072839	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cyanno	num-4	1266374	0.9203976719526997	0.9675626579095481	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cyanno	num-5	1231233	0.915842988671459	0.9562286838287685	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cygate	num-1	1346699	0.9225416572395583	0.9570501223361287	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cygate	num-2	1274361	0.9033786986560767	0.9501630700903357	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cygate	num-3	1174493	0.8068756700781909	0.90820743238958	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cygate	num-4	1266374	0.8695317367132421	0.9411318950464266	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	cygate	num-5	1231233	0.8073650876748955	0.8941162401122458	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	dgcytof	num-1	1346699	0.7576874012757046	0.8921041547400477	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	dgcytof	num-2	1274361	0.7593425184484149	0.8850112644126416	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	dgcytof	num-3	1174493	0.7992954600523584	0.8921369503651543	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	dgcytof	num-4	1266374	0.8204077825780243	0.9217061491570554	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	dgcytof	num-5	1231233	0.7834308225403696	0.9117094719162012	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[E]	num-1	1346699	0.22998629148534316	0.029883211647873654	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[E]	num-2	1274361	0.4263132099291447	0.4833211285226411	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[E]	num-3	1174493	0.6095706654404947	0.22134614360136906	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[E]	num-4	1266374	0.44242462025155244	0.31165557173204417	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[E]	num-5	1231233	0.458032678060703	0.29261289213789626	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[V]	num-1	1346699	0.33233422683222	0.2710816600694034	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[V]	num-2	1274361	0.6317162221750752	0.5158440289227177	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[V]	num-3	1174493	0.32787602709222374	0.4756304425384027	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[V]	num-4	1266374	0.4746824614787193	0.5801001075287133	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	gatemeclass[V]	num-5	1231233	0.44101383996562915	0.4172803090362158	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	knn	num-1	1346699	0.6787870488730389	0.7646652288901378	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	knn	num-2	1274361	0.6723210510225716	0.7490390068901958	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	knn	num-3	1174493	0.6921417261074653	0.7699649647104292	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	knn	num-4	1266374	0.6737684950345565	0.7823580621618237	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	knn	num-5	1231233	0.6985948895213532	0.7917155145014091	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	lda	num-1	1346699	0.7345897517900641	0.7941416439356548	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	lda	num-2	1274361	0.7758951779070609	0.8744466323815594	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	lda	num-3	1174493	0.7887094579868069	0.8911666544362284	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	lda	num-4	1266374	0.7422168518822791	0.8755611133648032	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	lda	num-5	1231233	0.7788975209631271	0.8986470828485394	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	random	num-1	1346699	0.16099543731613325	0.19990608793568257	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	random	num-2	1274361	0.1638744658052645	0.1972184844988118	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	random	num-3	1174493	0.15927172078433677	0.20071540715410388	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	random	num-4	1266374	0.15860307829289627	0.20272526878657768	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-1000	random	num-5	1231233	0.1575343956742471	0.20232323306962174	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cyanno	num-1	1346699	0.9680520492438485	0.9848969174018517	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cyanno	num-2	1274361	0.9670841438746528	0.983947231625591	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cyanno	num-3	1174493	0.9567337171991419	0.9791076859471803	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cyanno	num-4	1266374	0.9724307092950468	0.9887784231597901	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cyanno	num-5	1231233	0.9699984356684113	0.9864333135259579	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cygate	num-1	1346699	0.8946715524069301	0.9452874375313929	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cygate	num-2	1274361	0.7953234152538362	0.8827006147893489	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cygate	num-3	1174493	0.827536733791949	0.9108770407831696	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cygate	num-4	1266374	0.9116582258631208	0.9626675133893062	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	cygate	num-5	1231233	0.8244222831114756	0.9042568229916833	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	dgcytof	num-1	1346699	0.8870467527067861	0.948209529157582	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	dgcytof	num-2	1274361	0.9091837720391258	0.9540835029367863	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	dgcytof	num-3	1174493	0.906242240691977	0.9559197120088788	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	dgcytof	num-4	1266374	0.9245238527102224	0.9684262460509678	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	dgcytof	num-5	1231233	0.9128534635703799	0.960961640800913	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[E]	num-1	1346699	0.536389648720216	0.48297531461182064	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[E]	num-2	1274361	0.425512189875238	0.5043807499459215	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[E]	num-3	1174493	0.28859194996042825	0.10515063022886517	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[E]	num-4	1266374	0.5888232432818723	0.7005442779456384	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[E]	num-5	1231233	0.2986250451573984	0.11327064875374525	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[V]	num-1	1346699	0.2211481638336986	0.15271068734816426	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[V]	num-2	1274361	0.6726201791741784	0.5346254931749644	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[V]	num-3	1174493	0.26913951002150255	0.08959761382032103	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[V]	num-4	1266374	0.4623768223924632	0.6177465278073144	NA
dataset_name-FR-FCM-Z2KP-healthy_seed-420_sub-sampling-10000	gatemeclass[V]	num-5	1231233	0.5665775689776626	0.6892395686336635	NA
