dataset	model	stratification	crossvalidation	run_id	population_id	population_name	population	tp	fp	fn	tn	tpr	fpr	fnr	tnr
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	124993	22	0	544186	1	4.0425719577808485e-5	0	0.9999595742804221
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12202	75	0	656924	1	1.1415542489410182e-4	0	0.9998858445751059
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12202	75	0	656924	1	1.1415542489410182e-4	0	0.9998858445751059
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12202	75	0	656924	1	1.1415542489410182e-4	0	0.9998858445751059
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	4	NK cells	NK cells	99641	0	0	569560	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	4	NK cells	NK cells	99641	0	0	569560	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	4	NK cells	NK cells	99641	0	0	569560	1	0	0	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	84716	0	139904	444581	0.37715252426320006	0	0.6228474757367999	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	84716	0	139904	444581	0.37715252426320006	0	0.6228474757367999	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	84716	0	139904	444581	0.37715252426320006	0	0.6228474757367999	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	35847	0	22948	610406	0.6096947019304363	0	0.3903052980695637	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	35847	0	22948	610406	0.6096947019304363	0	0.3903052980695637	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	6	Naive CD8+ T cells	Naive CD8+ T cells	35847	0	22948	610406	0.6096947019304363	0	0.3903052980695637	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	2652	139318	60	527171	0.9778761061946902	0.20903270721647318	0.022123893805309734	0.7909672927835268
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	2652	139318	60	527171	0.9778761061946902	0.20903270721647318	0.022123893805309734	0.7909672927835268
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	7	TEMRA CD4+ T cells	TEMRA CD4+ T cells	2652	139318	60	527171	0.9778761061946902	0.20903270721647318	0.022123893805309734	0.7909672927835268
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-3	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	39293	22807	76	607025	0.9980695471055907	0.036211243633222825	0.0019304528944093069	0.9637887563667772
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-3	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	39293	22807	76	607025	0.9980695471055907	0.036211243633222825	0.0019304528944093069	0.9637887563667772
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-3	run0	8	TEMRA CD8+ T cells	TEMRA CD8+ T cells	39293	22807	76	607025	0.9980695471055907	0.036211243633222825	0.0019304528944093069	0.9637887563667772
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-4	run0	1	B cells	B cells	109965	0	83	516874	0.9992457836580402	0	7.54216341959872e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-4	run0	1	B cells	B cells	109965	0	83	516874	0.9992457836580402	0	7.54216341959872e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-4	run0	1	B cells	B cells	109965	0	83	516874	0.9992457836580402	0	7.54216341959872e-4	1
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-4	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	98336	2	28	528556	0.999715343011671	3.783879914787024e-6	2.846569883290635e-4	0.9999962161200853
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-4	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	98336	2	28	528556	0.999715343011671	3.783879914787024e-6	2.846569883290635e-4	0.9999962161200853
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-4	run0	2	Effector memory CD4+ T cells	Effector memory CD4+ T cells	98336	2	28	528556	0.999715343011671	3.783879914787024e-6	2.846569883290635e-4	0.9999962161200853
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-4	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12148	29	19	614726	0.998438398947974	4.717326414587925e-5	0.001561601052025972	0.9999528267358542
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-4	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12148	29	19	614726	0.998438398947974	4.717326414587925e-5	0.001561601052025972	0.9999528267358542
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-4	run0	3	Effector memory CD8+ T cells	Effector memory CD8+ T cells	12148	29	19	614726	0.998438398947974	4.717326414587925e-5	0.001561601052025972	0.9999528267358542
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-4	run0	4	NK cells	NK cells	114466	68	0	512388	1	1.3269431912203193e-4	0	0.999867305680878
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-both	num-4	run0	4	NK cells	NK cells	114466	68	0	512388	1	1.3269431912203193e-4	0	0.999867305680878
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	unfiltered	num-4	run0	4	NK cells	NK cells	114466	68	0	512388	1	1.3269431912203193e-4	0	0.999867305680878
dataset_name-15723074_dataset-revision-67990f383ac8f169c9a00148febba1ed357e18e8_name-data_import.data_raw_potential-batches-1_seed-42	cyanno	drop-train	num-4	run0	5	Naive CD4+ T cells	Naive CD4+ T cells	193194	1607	2852	429269	0.9854523938259389	0.003729611303484065	0.01454760617406119	0.996270388696516
